Designator,Mid X,Mid Y,Rotation,Layer
ANT,116.63,-85.85,90.0,top
C1,119.0,-60.6375,270.0,bottom
D1,138.1,-60.425,270.0,bottom
R1,122.4125,-61.5,180.0,bottom
