Designator,Mid X,Mid Y,Rotation,Layer
C1,226.5,-61.0,270.0,bottom
D2,241.0,-55.0,270.0,bottom
L1,184.8475,-82.0,0.0,top
R1,233.5,-63.5,180.0,bottom
